average_total_earnings,neighborhood
1134394.8461538462,"District 6"
4031944.6923076925,"District 19"
27068.76923076923,"District 31"
1501017.7692307692,"District 5"
86651.69230769231,"District 27"
328912.92307692306,"District 24"
296879,"District 16"
486846.1538461539,"District 20"
70028.46153846153,"District 10"
103269.69230769231,"District 14"
354370.3846153846,"District 8"
1901796.4615384615,"District 17"
26546.153846153848,"District 35"
139961.38461538462,"District 26"
36591,"District 23"
443353.3846153846,"District 7"
134798.6923076923,"District 3"
475348.23076923075,"District 18"
63662.230769230766,"District 4"
63125.07692307692,"District 12"
69342.46153846153,"District 30"
934798.8461538461,"District 2"
34051.769230769234,"District 33"
35658.53846153846,"District 22"
1541073.6153846155,"District 21"
1151581,"District 15"
140109.38461538462,"District 13"
168061.76923076922,"District 25"
109608.76923076923,"District 29"
79377.53846153847,"District 9"
137105.07692307694,"District 1"
60403.846153846156,"District 34"
36432.769230769234,"District 28"
189380.23076923078,"District 11"
3260.6153846153848,"District 32"
