neighbourhood,month_start_date,available_days,booked_days,occupancy_rate
"District 32",2024-11-01,148,2,1.33333
"District 32",2024-09-01,138,12,8.00000
"District 32",2024-08-01,140,15,9.67742
"District 12",2024-09-01,1358,172,11.24183
"District 32",2024-10-01,137,18,11.61290
"District 32",2024-12-01,137,18,11.61290
"District 28",2024-11-01,648,132,16.92308
"District 5",2024-11-01,22056,4614,17.30034
"District 17",2024-11-01,25302,5508,17.87731
"District 12",2024-11-01,1250,280,18.30065
"District 2",2024-11-01,9896,2254,18.55144
"District 28",2024-09-01,629,151,19.35897
"District 28",2024-08-01,649,157,19.47891
"District 32",2025-01-01,124,31,20.00000
"District 32",2025-02-01,112,28,20.00000
"District 5",2024-12-01,21985,5574,20.22570
"District 21",2024-11-01,23956,6104,20.30605
"District 12",2024-08-01,1259,322,20.36686
"District 19",2024-11-01,50833,13097,20.48647
"District 21",2024-12-01,24609,6453,20.77458
"District 17",2024-12-01,25207,6630,20.82483
"District 4",2024-11-01,781,209,21.11111
"District 34",2024-09-01,426,114,21.11111
"District 12",2024-10-01,1246,335,21.18912
"District 32",2024-07-01,122,33,21.29032
"District 20",2024-11-01,5494,1496,21.40200
"District 5",2024-10-01,21655,5904,21.42313
"District 35",2024-11-01,539,151,21.88406
"District 19",2024-12-01,51594,14467,21.89946
"District 2",2024-12-01,9805,2750,21.90362
"District 35",2024-12-01,556,157,22.01964
"District 2",2024-10-01,9776,2779,22.13461
"District 1",2024-12-01,1850,537,22.49686
"District 28",2024-10-01,619,187,23.20099
"District 5",2024-09-01,20478,6192,23.21710
"District 35",2024-10-01,546,167,23.42216
"District 17",2024-10-01,24359,7478,23.48839
"District 18",2024-11-01,5944,1826,23.50064
"District 20",2024-12-01,5524,1699,23.52208
"District 20",2024-09-01,5331,1659,23.73391
"District 4",2024-09-01,755,235,23.73737
"District 34",2024-10-01,425,133,23.83513
"District 16",2024-11-01,4372,1388,24.09722
"District 31",2024-09-01,568,182,24.26667
"District 28",2024-12-01,610,196,24.31762
