neighbourhood,num_properties,total_earnings
"District 19",239,45200505
"District 17",182,37768740
"District 2",88,18835864
"District 5",85,17635038
"District 21",71,11921630
"District 20",36,10337165
"District 18",25,7597110
"District 15",23,5922125
"District 6",33,5677210
"District 11",11,4369415
"District 25",15,3499620
"District 24",15,3323325
"District 34",4,1956035
"District 3",11,1942895
"District 8",9,1756015
"District 1",10,1603810
"District 23",3,1326775
"District 10",4,966155
"District 7",5,953380
"District 4",3,870160
"District 27",5,708465
"District 14",4,697880
"District 16",3,512825
"District 30",2,413910
"District 12",2,380330
"District 13",1,328500
"District 26",2,279225
"District 28",2,270830
"District 22",1,128845
